iso3c;region_id;country_name;composition_food_organic_waste_percent;composition_glass_percent;composition_metal_percent;composition_other_percent;composition_paper_cardboard_percent;composition_plastic_percent;composition_rubber_leather_percent;composition_wood_percent;composition_yard_garden_green_waste_percent
ABW;LCN;Aruba;;;;;;;;;
AFG;SAS;Afghanistan;;;;;;;;;
AGO;SSF;Angola;51.8;6.7;4.4;11.5;11.9;13.5;;;
ALB;ECS;Albania;51.4;4.5;4.8;15.209999999999999;9.9;9.6;;4.6;
AND;ECS;Andorra;31.2;8.2;2.6;11.6;35.1;11.3;;;
ARE;MEA;United Arab Emirates;39;4;3;10;25;19;;;
ARG;LCN;Argentina;38.74;3.16;1.84;15.36;13.96;14.61;1.26;1.09;9.95
ARM;ECS;Armenia;57;3.2;3.4;17.4;6.7;11.4;0.3;0.6;
ASM;EAS;American Samoa;19.7;3.4;7.9;25.6;26.4;12.8;4.2;;
ATG;LCN;Antigua and Barbuda;46;7;7;12;15;13;;;
AUS;EAS;Australia;48.44;3.81;19.38;3.46;17.3;7.61;;;
AUT;ECS;Austria;31.4;7;4.4;18.5;19.7;11.1;;7.9;
AZE;ECS;Azerbaijan;45.19;5.28;3.49;13.729999999999999;10.93;7.87;3.09;;10.42
BDI;SSF;Burundi;81;2.9;2.1;3.2;7.3;3.5;;;
BEL;ECS;Belgium;14.18;3.1;1.91;40.14;18.38;13.94;;2.37;5.84
BEN;SSF;Benin;52.1;1.6;1.6;34.3;3.1;7.3;;;
BFA;SSF;Burkina Faso;21;1;1;61;7;9;;;
BGD;SAS;Bangladesh;80.57999999999998;0.44;0.5;8.59;3.04;4.67;1.08;;1.1
BGR;ECS;Bulgaria;24.35;5.83;1.98;17.93;14.18;12.15;1.96;2.48;19.18
BHR;MEA;Bahrain;59.1;3.4;2.1;15.2;12.8;7.4;;;
BHS;LCN;Bahamas, The;46;7;7;12;15;13;;;
BIH;ECS;Bosnia and Herzegovina;;;;92.7;4.9;;;;2.4
BLR;ECS;Belarus;30;8;2;35;5;12;6;2;
