iso3c,region_id,country_name,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent
DEU,ECS,Germany,30,10,1.4,17.7,24,13,4,,
DNK,ECS,Denmark,12.78,5.78,6.29,23.86,11.57,1.61,0,7.65,30.46
FIN,ECS,Finland,35.88,9.24,1.7,13.129999999999999,37.83,1.45,,0.73,
FRA,ECS,France,32,10,3,26,20,9,,,
GBR,ECS,United Kingdom,16.7,2.2,3.5,28.2,18.9,20.2,,7.6,2.7
GRL,ECS,Greenland,42.8,7.1,2,33.4,11.4,2.4,,1,
HKG,EAS,Hong Kong SAR, China,35,3,2,14,22,21,,3,
IRN,MEA,Iran, Islamic Rep.,72.9,1.9,2.3,5,7.3,8.5,1.1,1.3,
IRQ,MEA,Iraq,68.7,2.3,0.98,6,9.6,5.29,5.09,0.85,0.93
ISL,ECS,Iceland,10,,,,38,9,,29,14
JPN,EAS,Japan,36,5,4,6,33,11,1,4,
KHM,EAS,Cambodia,66.6,2.6,2,10.4,4,8.6,,5.8,
KOR,EAS,Korea, Rep.,30,2.5,2.6,,41,24.3,,,
NOR,ECS,Norway,15.49,4.6,6.12,13.15,26.57,2.25,,17.21,14.68
SGP,EAS,Singapore,10.51,0.93,19.12,32.3,14.86,10.58,1.96,5.5,4.26
SWE,ECS,Sweden,23.34,9.15,9.2,,36.4,6.58,,,15.33
USA,NAC,United States,14.9,4.4,9,3.2,26.6,12.9,9.5,6.2,13.3
